"","date","base_temp"
"375",2005,401
"376",2006,376
"377",2007,355
"378",2008,323
"379",2009,302
"380",2010,211
"381",2011,192
"382",2012,180
"383",2013,144
"384",2014,119
"385",2015,105
"386",2016,73
"387",2017,56
"388",2018,41
"389",2019,7
"390",2020,0
"391",2021,0
