"","X","date","identifier","publisher","title","nb_numeros","ark","duree_publi","date_deb","date_fin","deb_bis","fin_bis","is_quotidien"
"1",1,"19??","https://gallica.bnf.fr/ark:/12148/cb32699739p/date","S. l.","L'Anti cafard",2,"cb32699739p",NA,"1916",NA,"1916-01-01",NA,FALSE
"2",2,"1913-????","https://gallica.bnf.fr/ark:/12148/cb339033288/date","","Memoria dos seus trabalhos",2,"cb339033288",1460,"1913","1916","1913-01-01","1916-12-31",FALSE
"3",3,"1854-1870","https://gallica.bnf.fr/ark:/12148/cb387197736/date","Paris, Paris","Almanach musical pour ",17,"cb387197736",6208,"1854","1870","1854-01-01","1870-12-31",FALSE
"4",4,"1915-1918","https://gallica.bnf.fr/ark:/12148/cb386884277/date","","Marmita",1,"cb386884277",0,"1915-01-10","1915-01-10","1915-01-10","1915-01-10",FALSE
"5",5,"1952-1953","https://gallica.bnf.fr/ark:/12148/cb45393119z/date","Paris","Les Échos ",3,"cb45393119z",609,"1952-03","1953-10","1952-03-01","1953-10-31",FALSE
"6",6,"1918-1924","https://gallica.bnf.fr/ark:/12148/cb38725602n/date","","Artistique Revue",1,"cb38725602n",0,"1918-07-20","1918-07-20","1918-07-20","1918-07-20",FALSE
"7",7,"1860-186.","https://gallica.bnf.fr/ark:/12148/cb45382243n/date","Alger","Revue horticole de l'Algérie ",1,"cb45382243n",30,"1860-01","1860-01","1860-01-01","1860-01-31",FALSE
"8",8,"1900","https://gallica.bnf.fr/ark:/12148/cb34349269z/date","Paris, Paris","Bulletins et Mémoires de la Société d'anthropologie de Paris",32,"cb34349269z",14974,"1900","1940","1900-01-01","1940-12-31",FALSE
"9",9,"1964-1964","https://gallica.bnf.fr/ark:/12148/cb452696206/date","Paris","Aircup ",1,"cb452696206",0,"1964-05-14","1964-05-14","1964-05-14","1964-05-14",FALSE
"10",10,"1907","https://gallica.bnf.fr/ark:/12148/cb42768809f/date","","Bulletin paroissial ",45,"cb42768809f",1705,"1914-06","1919-01","1914-06-01","1919-01-31",FALSE
"11",11,"1909-1938","https://gallica.bnf.fr/ark:/12148/cb32686697n/date","Paris, Paris, Paris","Almanach de l'Action française",23,"cb32686697n",9861,"1910","1936","1910-01-01","1936-12-31",FALSE
"12",12,"1915-1916","https://gallica.bnf.fr/ark:/12148/cb370153624/date","Tranchées du Vallon","La Gazette des boyaux ",1,"cb370153624",NA,NA,NA,NA,NA,FALSE
"13",13,"1998","https://gallica.bnf.fr/ark:/12148/cb45266005x/date","Paris","Rapport annuel ",18,"cb45266005x",6573,"1998","2015","1998-01-01","2015-12-31",FALSE
"14",14,"1953-1954","https://gallica.bnf.fr/ark:/12148/cb45393434p/date","Paris","Discutons ",8,"cb45393434p",211,"1953-11","1954-05","1953-11-01","1954-05-31",FALSE
"15",15,"1915","https://gallica.bnf.fr/ark:/12148/cb386884424/date","","Poèmes de France par Paul Fort",5,"cb386884424",76,"1914-12-01","1915-02-15","1914-12-01","1915-02-15",FALSE
"16",16,"1952","https://gallica.bnf.fr/ark:/12148/cb37574064v/date","Millerton N.Y.","Aperture ",1,"cb37574064v",NA,NA,NA,NA,NA,FALSE
"17",17,"1914-19??","https://gallica.bnf.fr/ark:/12148/cb36137310t/date","","Le Petit colonial ",1,"cb36137310t",NA,NA,NA,NA,NA,FALSE
"18",18,"1985-1986","https://gallica.bnf.fr/ark:/12148/cb452698066/date","Paris","Aircup ",1,"cb452698066",364,"1985","1985","1985-01-01","1985-12-31",FALSE
"19",19,"2007-2008","https://gallica.bnf.fr/ark:/12148/cb45269660f/date","Paris","Arménie infos",10,"cb45269660f",NA,"2007","2008-11","2007-01-01","2008-11-31",FALSE
"20",20,"1840-1848","https://gallica.bnf.fr/ark:/12148/cb375838808/date","Montpellier, Paris, ","Journal de la Société de médecine pratique de Montpellier",7,"cb375838808",1460,"1840","1843","1840-01-01","1843-12-31",FALSE
"21",21,"1993-1994","https://gallica.bnf.fr/ark:/12148/cb45265577x/date","Paris","Fondation des Etats unis ",5,"cb45265577x",150,"1993-11","1994-03","1993-11-01","1994-03-31",FALSE
"22",22,"1886-18..","https://gallica.bnf.fr/ark:/12148/cb43704525s/date","Shang hai, <U+4E0A><U+6D77>","Hai ti hua bao  ",1,"cb43704525s",364,"1886","1886","1886-01-01","1886-12-31",FALSE
"23",23,"1928","https://gallica.bnf.fr/ark:/12148/cb38753987t/date","","L'Informateur ciné corporatif",1,"cb38753987t",NA,NA,NA,NA,NA,FALSE
"24",24,"1916-1917","https://gallica.bnf.fr/ark:/12148/cb386883974/date","","L'Argonaute",2,"cb386883974",364,"1916-06-01","1917-05","1916-06-01","1917-05-31",FALSE
"25",25,"1820-1820","https://gallica.bnf.fr/ark:/12148/cb36136418m/date","","Aperçus historiques.",1,"cb36136418m",365,"1820","1820","1820-01-01","1820-12-31",FALSE
"26",26,"1790-1791","https://gallica.bnf.fr/ark:/12148/cb424610091/date","","Almanach général de Saint Domingue",1,"cb424610091",364,"1790","1790","1790-01-01","1790-12-31",FALSE
"27",27,"1860-1860","https://gallica.bnf.fr/ark:/12148/cb437886846/date","Paris, Paris, Paris","Les Contemporains ",1,"cb437886846",364,"1861","1861","1861-01-01","1861-12-31",FALSE
"28",28,"18..-18..","https://gallica.bnf.fr/ark:/12148/cb44510422h/date","Paris","Annales de sciences naturelles ",1,"cb44510422h",365,"1856","1856","1856-01-01","1856-12-31",FALSE
"29",29,"1915-1915","https://gallica.bnf.fr/ark:/12148/cb361364356/date","Marseille, Toulon","Le Drapeau ",1,"cb361364356",NA,NA,NA,NA,NA,FALSE
"30",30,"1934-1936","https://gallica.bnf.fr/ark:/12148/cb45265625z/date","London","European herald",1,"cb45265625z",0,"1936-05-23","1936-05-23","1936-05-23","1936-05-23",FALSE
"31",31,"","https://gallica.bnf.fr/ark:/12148/cb365956374/date","Paris 12, rue du Vieux Colombier, 75006","",3,"cb365956374",8400,"1854","1876","1854-01-01","1876-12-31",FALSE
"32",32,"1961-1966","https://gallica.bnf.fr/ark:/12148/cb453940982/date","Paris","Bulletin des comités",38,"cb453940982",NA,"1961-12","1966-02","1961-12-01","1966-02-31",FALSE
"33",33,"1957-1961","https://gallica.bnf.fr/ark:/12148/cb45392885f/date","Paris","Bulletin intérieur ",35,"cb45392885f",2283,"1955-05","1961-07","1955-05-01","1961-07-31",FALSE
"34",34,"19??","https://gallica.bnf.fr/ark:/12148/cb375752639/date","La Haye, Paris","Revue de droit international et de législation comparée ",61,"cb375752639",24469,"1869","1935","1869-01-01","1935-12-31",FALSE
"35",35,"1895","https://gallica.bnf.fr/ark:/12148/cb32701846m/date","Alger","L'Argus algérien",4,"cb32701846m",24,"1895-04-04","1895-04-28","1895-04-04","1895-04-28",FALSE
"36",36,"18..-18..","https://gallica.bnf.fr/ark:/12148/cb45113710h/date","Paris","Programme général des concours",4,"cb45113710h",25201,"1807","1875","1807-01-01","1875-12-31",FALSE
"37",37,"1856-1865","https://gallica.bnf.fr/ark:/12148/cb32748868f/date","Paris, Paris, Paris, Paris","La Correspondance littéraire ",9,"cb32748868f",2942,"1856-11-05","1864-11-25","1856-11-05","1864-11-25",FALSE
"38",38,"1915-1915","https://gallica.bnf.fr/ark:/12148/cb420127847/date","France","Le Cri de Vaux ",1,"cb420127847",NA,NA,NA,NA,NA,FALSE
"39",39,"1904","https://gallica.bnf.fr/ark:/12148/cb32846157j/date","Alger","La Purée noire",8,"cb32846157j",30,"1904-10","1904-10","1904-10-01","1904-10-31",FALSE
"40",40,"1915-1918","https://gallica.bnf.fr/ark:/12148/cb328406115/date","S. l.","Les Poilus de la 9e ",1,"cb328406115",NA,NA,NA,NA,NA,FALSE
"41",41,"1996-1996","https://gallica.bnf.fr/ark:/12148/cb452659442/date","Paris","L' Afiche ",4,"cb452659442",60,"1996-04","1996-05","1996-04-01","1996-05-31",FALSE
"42",42,"1753-1757","https://gallica.bnf.fr/ark:/12148/cb43514729k/date","","Le Traducteur ",52,"cb43514729k",357,"1757-01-08","1757-12-31","1757-01-08","1757-12-31",FALSE
"43",43,"1908","https://gallica.bnf.fr/ark:/12148/cb42768804q/date","","Bulletin paroissial ",3,"cb42768804q",NA,"1914-01","1914-02","1914-01-01","1914-02-31",FALSE
"44",44,"1915-1915","https://gallica.bnf.fr/ark:/12148/cb444156730/date","Paris","Les Imberbes ",1,"cb444156730",30,"1915-10","1915-10","1915-10-01","1915-10-31",FALSE
"45",45,"1920","https://gallica.bnf.fr/ark:/12148/cb327110605/date","London, Bruxelles, Paris, Milano, Madrid","Les Belles modes de Paris",2,"cb327110605",NA,"1921-07","1921-06","1921-07-01","1921-06-31",FALSE
"46",46,"1897-1899","https://gallica.bnf.fr/ark:/12148/cb442555031/date","Paris, Edinburgh","Revue française d'Edimbourg",16,"cb442555031",NA,"1897-11","1899-04","1897-11-01","1899-04-31",FALSE
"47",47,"1836-184.","https://gallica.bnf.fr/ark:/12148/cb451132809/date","Paris","Assemblée générale",9,"cb451132809",2566,"1836","1843-01-10","1836-01-01","1843-01-10",FALSE
"48",48,"1807-1819","https://gallica.bnf.fr/ark:/12148/cb32813915g/date","Paris, Paris, Paris, Paris, Paris, Paris, Paris, Paris, Paris, Paris","Mémorial dramatique",1,"cb32813915g",NA,NA,NA,NA,NA,FALSE
"49",49,"1955","https://gallica.bnf.fr/ark:/12148/cb344421811/date","Paris","",20,"cb344421811",9069,"1991","2015-10","1991-01-01","2015-10-31",FALSE
"50",50,"1844-1844","https://gallica.bnf.fr/ark:/12148/cb442080578/date","Paris","Deutsch französische Jahrbücher ",1,"cb442080578",NA,NA,NA,NA,NA,FALSE
"51",51,"1788-1789","https://gallica.bnf.fr/ark:/12148/cb43847111q/date","","Cours complet d'agriculture",3,"cb43847111q",730,"1788","1789","1788-01-01","1789-12-31",FALSE
"52",52,"","https://gallica.bnf.fr/ark:/12148/btv1b55005600p","S. l.","La Fusillade crépitante et humoristique",0,"btv1b55005600p",NA,NA,NA,NA,NA,FALSE
"53",53,"","https://gallica.bnf.fr/ark:/12148/btv1b525012583","Le Collet de Dèze, Saint Germain de Calberte","La Cévenne coopérative ",0,"btv1b525012583",NA,NA,NA,NA,NA,FALSE
"54",54,"18??","https://gallica.bnf.fr/ark:/12148/cb32806295j/date","Constantinople","The Levant times and shipping gazette",414,"cb32806295j",2003,"1869-01-04","1874-06-30","1869-01-04","1874-06-30",TRUE
"55",55,"1925","https://gallica.bnf.fr/ark:/12148/cb328343609/date","Genève","Pax et libertas ",25,"cb328343609",NA,"1926-04","1950-09","1926-04-01","1950-09-31",FALSE
"56",56,"1821-05-20","https://gallica.bnf.fr/ark:/12148/bpt6k899628v","Cap Haytien","La Concorde",0,"bpt6k899628v",NA,NA,NA,NA,NA,FALSE
"57",57,"","https://gallica.bnf.fr/ark:/12148/btv1b55005604g","S. l.","Bombes et pétards",0,"btv1b55005604g",NA,NA,NA,NA,NA,FALSE
"58",58,"19..-19..","https://gallica.bnf.fr/ark:/12148/cb32821815x/date","Mossoul","En Nadjn",1,"cb32821815x",364,"1941","1941","1941-01-01","1941-12-31",FALSE
"59",59,"1769-1771","https://gallica.bnf.fr/ark:/12148/cb45387987d/date","","Le Porte feuille hebdomadaire",1,"cb45387987d",0,"1770-01-06","1770-01-06","1770-01-06","1770-01-06",FALSE
"60",60,"1842-1870","https://gallica.bnf.fr/ark:/12148/cb419474583/date","Strasbourg","Arrêté portant règlement général pour la culture du tabac ",1,"cb419474583",365,"1864","1864","1864-01-01","1864-12-31",FALSE
"61",61,"1811","https://gallica.bnf.fr/ark:/12148/bpt6k6526101k","","Bulletin des arrêtés",0,"bpt6k6526101k",NA,NA,NA,NA,NA,FALSE
"62",62,"1908-1908","https://gallica.bnf.fr/ark:/12148/cb32853883h/date","Alger","Le Réveil d'Alger",2,"cb32853883h",2,"1908-05-01","1908-05-03","1908-05-01","1908-05-03",FALSE
"63",63,"1895-1902","https://gallica.bnf.fr/ark:/12148/cb43667224d/date","Saïgon","Recueil des instructions",13,"cb43667224d",6938,"1896","1914","1896-01-01","1914-12-31",FALSE
"64",64,"1921-02-20","https://gallica.bnf.fr/ark:/12148/bpt6k4517748p","Angora","Agence d'Anatolie",0,"bpt6k4517748p",NA,NA,NA,NA,NA,FALSE
"65",65,"1910-1940","https://gallica.bnf.fr/ark:/12148/cb443458103/date","Paris, Paris","Bulletin de l'Institut catholique de Paris ",176,"cb443458103",11102,"1910","1940-05-25","1910-01-01","1940-05-25",FALSE
"66",66,"1907-1958","https://gallica.bnf.fr/ark:/12148/cb44376655c/date","Maroc ?","Assemblée générale ordinaire",17,"cb44376655c",3619,"1920-06-28","1930-05-26","1920-06-28","1930-05-26",FALSE
"67",67,"1896-01","https://gallica.bnf.fr/ark:/12148/bpt6k1045699","Paris, Paris","Journal des voyages et des aventures de terre et de mer",0,"bpt6k1045699",NA,NA,NA,NA,NA,FALSE
"68",68,"194.-194.","https://gallica.bnf.fr/ark:/12148/cb43839458g/date","","Le Réveil ",2,"cb43839458g",7,"1944-07-01","1944-07-08","1944-07-01","1944-07-08",FALSE
"69",69,"19??-195?","https://gallica.bnf.fr/ark:/12148/cb41270794h/date","Paris, Brazzaville","Comptes définitifs des recettes et des dépenses ",2,"cb41270794h",729,"1925","1926","1925-01-01","1926-12-31",FALSE
"70",70,"19??","https://gallica.bnf.fr/ark:/12148/cb32777765h/date","Hanoi","France Hanoi",1,"cb32777765h",0,"1946-08-15","1946-08-15","1946-08-15","1946-08-15",FALSE
"71",71,"1723-1724","https://gallica.bnf.fr/ark:/12148/cb40936288w/date","","Nouvelles litteraires ",1,"cb40936288w",0,"1723-12-01","1723-12-01","1723-12-01","1723-12-01",FALSE
"72",72,"1890-1910","https://gallica.bnf.fr/ark:/12148/cb327231426/date","Paris, Paris","Bulletin de la Ligue populaire pour le repos du dimanche en France",225,"cb327231426",7699,"1889-12-01","1910","1889-12-01","1910-12-31",FALSE
"73",73,"1910-1914","https://gallica.bnf.fr/ark:/12148/cb328123832/date","Alger","Mauritania",41,"cb328123832",1277,"1910-12","1914-05","1910-12-01","1914-05-31",FALSE
"74",74,"1922-10","https://gallica.bnf.fr/ark:/12148/bpt6k5600425n","Bordeaux, Lyon, Marseille","Bulletin hispanique",0,"bpt6k5600425n",NA,NA,NA,NA,NA,FALSE
"75",75,"1650-1650","https://gallica.bnf.fr/ark:/12148/cb44323340r/date","","Le Courieer burlesque de la guerre de Bourdeaux",1,"cb44323340r",364,"1650","1650","1650-01-01","1650-12-31",FALSE
"76",76,"1930","https://gallica.bnf.fr/ark:/12148/cb32847415p/date","Casablanca","Radio marocaine",250,"cb32847415p",1876,"1934-07-06","1939-08-25","1934-07-06","1939-08-25",FALSE
"77",77,"1906-12-26","https://gallica.bnf.fr/ark:/12148/bpt6k4565238b","Montreux","Barnett's continental weekly ",0,"bpt6k4565238b",NA,NA,NA,NA,NA,FALSE
"78",78,"1723-1725","https://gallica.bnf.fr/ark:/12148/cb32827164n/date","","Le Nouvelliste sans fard",26,"cb32827164n",566,"1723-10-09","1725-04-27","1723-10-09","1725-04-27",FALSE
"79",79,"1802","https://gallica.bnf.fr/ark:/12148/cb32827850w/date","Port Républicain","L'Observateur ou Gazette du Port Républicain",5,"cb32827850w",503,"1802","1803-05-19","1802-01-01","1803-05-19",FALSE
"80",80,"1929-05-03","https://gallica.bnf.fr/ark:/12148/bpt6k1262534f","Constantine","La Nausée",0,"bpt6k1262534f",NA,NA,NA,NA,NA,FALSE
"81",81,"1893-1894","https://gallica.bnf.fr/ark:/12148/cb32696967r/date","Smyrne, Smyrne","Annuaire des commerçants de Smyrne et de l'Anatolie",3,"cb32696967r",729,"1893","1894","1893-01-01","1894-12-31",FALSE
"82",82,"1733-1747","https://gallica.bnf.fr/ark:/12148/cb327122619/date","","Bibliotheque britannique",50,"cb327122619",4870,"1733-10","1747-01","1733-10-01","1747-01-31",FALSE
"83",83,"","https://gallica.bnf.fr/ark:/12148/btv1b525024692","Paris","Le Nu idéal",0,"btv1b525024692",NA,NA,NA,NA,NA,FALSE
"84",84,"1796-1796","https://gallica.bnf.fr/ark:/12148/cb327980924/date","Paris, Paris","Journal de la justice civile",3,"cb327980924",305,"1796-03","1796","1796-03-01","1796-12-31",FALSE
"85",85,"1893-1893","https://gallica.bnf.fr/ark:/12148/cb327097150/date","Paris, Paris","Le Bambou ",12,"cb327097150",364,"1893","1893","1893-01-01","1893-12-31",FALSE
"86",86,"","https://gallica.bnf.fr/ark:/12148/btv1b73000189","","Notre rire ",0,"btv1b73000189",NA,NA,NA,NA,NA,FALSE
"87",87,"1887","https://gallica.bnf.fr/ark:/12148/cb32764182h/date","Oran","L'Eclat de rire",6,"cb32764182h",42,"1887-11-13","1887-12-25","1887-11-13","1887-12-25",FALSE
"88",88,"191.-191.","https://gallica.bnf.fr/ark:/12148/cb32752897s/date","","Le Croissant ",1,"cb32752897s",NA,NA,NA,NA,NA,FALSE
"89",89,"1916-1918","https://gallica.bnf.fr/ark:/12148/cb32779730b/date","S. l.","Gardons le sourire ",1,"cb32779730b",NA,NA,NA,NA,NA,FALSE
"90",90,"1914","https://gallica.bnf.fr/ark:/12148/cb32836266k/date","S. l.","Le Petit écho du 18e ",1,"cb32836266k",NA,NA,NA,NA,NA,FALSE
"91",91,"1915","https://gallica.bnf.fr/ark:/12148/cb32811529k/date","S. l.","Le Marcheur du 88e",1,"cb32811529k",NA,NA,NA,NA,NA,FALSE
"92",92,"1793-1793","https://gallica.bnf.fr/ark:/12148/cb32896467q/date","Se trouve à Paris, chez l'auteur, rue du Hurpoix, la boutique à côté de l'horloger... L'an 2e de la République françoise, une et indivisible.","Sermon républicain",1,"cb32896467q",364,"1793","1793","1793-01-01","1793-12-31",FALSE
"93",93,"1932","https://gallica.bnf.fr/ark:/12148/cb328096047/date","Alger","La Lumière",2,"cb328096047",7,"1932-06-17","1932-06-24","1932-06-17","1932-06-24",FALSE
"94",94,"1907","https://gallica.bnf.fr/ark:/12148/cb32709580w/date","Alger","Le Baiser",3,"cb32709580w",48,"1907-10-13","1907-11-30","1907-10-13","1907-11-30",FALSE
"95",95,"1922","https://gallica.bnf.fr/ark:/12148/cb32760564q/date","Tunis","L'Echo de la presse",4,"cb32760564q",107,"1922-03-03","1922-06-18","1922-03-03","1922-06-18",FALSE
"96",96,"1828-1914","https://gallica.bnf.fr/ark:/12148/cb34428663h/date","Paris, Paris","Mémoires de l'Académie de médecine ",47,"cb34428663h",30679,"1828","1911","1828-01-01","1911-12-31",FALSE
"97",97,"1911","https://gallica.bnf.fr/ark:/12148/cb32830522b/date","Dakar","L'Ouest africain français",254,"cb32830522b",2704,"1925","1932-05-28","1925-01-01","1932-05-28",FALSE
"98",98,"1847-1897","https://gallica.bnf.fr/ark:/12148/cb344427256/date","Versailles, Versailles","Mémoires de la Société des sciences morales",20,"cb344427256",18627,"1847","1897","1847-01-01","1897-12-31",FALSE
"99",99,"1870","https://gallica.bnf.fr/ark:/12148/cb34359904h/date","Montpellier, Paris, Montpellier, Montpellier, Montpellier, Montpellier, Montpellier, Montpellier, Montpellier, Montpellier","Revue des langues romanes ",71,"cb34359904h",28853,"1870","1948","1870-01-01","1948-12-31",FALSE
"100",100,"1856-1895","https://gallica.bnf.fr/ark:/12148/cb32781342h/date","Alger, Paris","Gazette médicale de l'Algérie ",36,"cb32781342h",14609,"1856","1895","1856-01-01","1895-12-31",FALSE
"101",101,"1899-190.","https://gallica.bnf.fr/ark:/12148/cb32877728g/date","Alger, puis : Mustapha, puis : Alger","Le Tirailleur algérien ",6,"cb32877728g",42,"1900-03-18","1900-04-29","1900-03-18","1900-04-29",FALSE
"102",102,"1990-2000","https://gallica.bnf.fr/ark:/12148/cb344223292/date","Paris, Paris","Bibliographie nationale française",107,"cb344223292",3227,"1990-02-14","1998-12-16","1990-02-14","1998-12-16",FALSE
"103",103,"","https://gallica.bnf.fr/ark:/12148/cb344453892/date","Paris Paris, Paris","Compte administratif de l'exercice",7,"cb344453892",2556,"1914","1920","1914-01-01","1920-12-31",FALSE
"104",104,"1899-1921","https://gallica.bnf.fr/ark:/12148/cb34425170p/date","Paris, Paris","Bulletin de l'Alliance nationale pour l'accroissement de la population française",62,"cb34425170p",NA,"1899-01-15","1922-02","1899-01-15","1922-02-31",FALSE
"105",105,"1990-2000","https://gallica.bnf.fr/ark:/12148/cb34422328q/date","Paris, Paris","Bibliographie nationale française",258,"cb34422328q",3637,"1990","1999-12-17","1990-01-01","1999-12-17",FALSE
"106",106,"1935-2005","https://gallica.bnf.fr/ark:/12148/cb34387775m/date","Paris, Paris","Revue générale du froid ",38,"cb34387775m",NA,"1935-01","1947-02","1935-01-01","1947-02-31",FALSE
"107",107,"1920-1934","https://gallica.bnf.fr/ark:/12148/cb34387748q/date","Paris","La Revue générale du froid et des industries frigorifiques",36,"cb34387748q",4931,"1920-08","1934-01","1920-08-01","1934-01-31",FALSE
"108",108,"1909","https://gallica.bnf.fr/ark:/12148/cb328321201/date","Paris puis Milan","Parigina",27,"cb328321201",789,"1909-01-31","1911-03","1909-01-31","1911-03-31",FALSE
"109",109,"19??","https://gallica.bnf.fr/ark:/12148/cb328318541/date","Alger","Papa Louëtte",3,"cb328318541",14,"1906-05-20","1906-06-03","1906-05-20","1906-06-03",FALSE
"110",110,"1908-1909","https://gallica.bnf.fr/ark:/12148/cb328539050/date","Alger","Le Réveil d'Hussein Dey",80,"cb328539050",581,"1908-02-16","1909-09-19","1908-02-16","1909-09-19",FALSE
"111",111,"1962-1962","https://gallica.bnf.fr/ark:/12148/cb34495349v/date","Alger","Journal officiel de l'État algérien ",30,"cb34495349v",178,"1962-07-06","1962-12-31","1962-07-06","1962-12-31",FALSE
"112",112,"1859-1861","https://gallica.bnf.fr/ark:/12148/cb327401677/date","Paris","La Chapelle",1,"cb327401677",NA,NA,NA,NA,NA,FALSE
"113",113,"1947","https://gallica.bnf.fr/ark:/12148/cb34349463f/date","Paris","Informations sociales ",574,"cb34349463f",20637,"1947-08","2004-01","1947-08-01","2004-01-31",FALSE
"114",114,"1922","https://gallica.bnf.fr/ark:/12148/cb32718921f/date","Saigon","Bulletin ",29,"cb32718921f",8765,"1920","1943","1920-01-01","1943-12-31",FALSE
"115",115,"1851","https://gallica.bnf.fr/ark:/12148/cb32878756z/date","Madrid","El Trabajador",2,"cb32878756z",153,"1851-06-15","1851-11-15","1851-06-15","1851-11-15",FALSE
"116",116,"18??","https://gallica.bnf.fr/ark:/12148/cb32798622m/date","Paris","Journal de musique étrangère pour la guitare ou lyre",1,"cb32798622m",NA,NA,NA,NA,NA,FALSE
"117",117,"1652-1652","https://gallica.bnf.fr/ark:/12148/cb413185897/date","","Le babillard du temps",2,"cb413185897",365,"1652","1652","1652-01-01","1652-12-31",FALSE
"118",118,"1649-1649","https://gallica.bnf.fr/ark:/12148/cb32751426x/date","","Courrier françois",2,"cb32751426x",364,"1649","1649","1649-01-01","1649-12-31",FALSE
"119",119,"1796-1968","https://gallica.bnf.fr/ark:/12148/cb343785544/date","Paris, Paris, Paris, Paris, Paris, Paris, Paris, Paris, Paris, Paris, Paris","Annuaire pour l'an ",172,"cb343785544",63185,"1797","1969","1797-01-01","1969-12-31",FALSE
"120",120,"1899-1914","https://gallica.bnf.fr/ark:/12148/cb34520374k/date","Vienne, Paris, Paris","Revue épigraphique ",2,"cb34520374k",1309,"1899-07","1903-01","1899-07-01","1903-01-31",FALSE
"121",121,"1887-1910","https://gallica.bnf.fr/ark:/12148/cb344095396/date","Paris","Bulletin de la Société astronomique de France",23,"cb344095396",8430,"1887","1910-01","1887-01-01","1910-01-31",FALSE
"122",122,"1925-1940","https://gallica.bnf.fr/ark:/12148/cb34426924z/date","Paris, Paris","Année politique française et étrangère",14,"cb34426924z",5843,"1925","1940","1925-01-01","1940-12-31",FALSE
"123",123,"1911","https://gallica.bnf.fr/ark:/12148/cb343482520/date","Paris, Paris","L'Astronomie ",36,"cb343482520",12449,"1911","1945-01","1911-01-01","1945-01-31",FALSE
"124",124,"1862-1924","https://gallica.bnf.fr/ark:/12148/cb399769952/date","Genève, Lausanne","Bibliothèque universelle et Revue suisse",157,"cb399769952",14973,"1873","1913","1873-01-01","1913-12-31",FALSE
"125",125,"1984-1996","https://gallica.bnf.fr/ark:/12148/cb343924404/date","Paris, Montrouge","La Vie des sciences",43,"cb343924404",4748,"1984","1996","1984-01-01","1996-12-31",FALSE
"126",126,"1990-2000","https://gallica.bnf.fr/ark:/12148/cb34422358n/date","Paris, Paris","Bibliographie nationale française",38,"cb34422358n",2821,"1990-02-28","1997-11-19","1990-02-28","1997-11-19",FALSE
"127",127,"1873-1885","https://gallica.bnf.fr/ark:/12148/cb34431018j/date","Paris, Paris","Bulletin   Société de Saint",17,"cb34431018j",5175,"1874-12","1889-01","1874-12-01","1889-01-31",FALSE
"128",128,"1874-1878","https://gallica.bnf.fr/ark:/12148/cb34429287n/date","Paris, Paris, Paris, Paris","Le Sonnettiste ",3,"cb34429287n",740,"1876","1878-01-10","1876-01-01","1878-01-10",FALSE
"129",129,"1976","https://gallica.bnf.fr/ark:/12148/cb34434747s/date","Paris, Paris","Règlements entre la France et l'extérieur ",3,"cb34434747s",1095,"1975","1977","1975-01-01","1977-12-31",FALSE
"130",130,"1976","https://gallica.bnf.fr/ark:/12148/cb344347484/date","Paris, Paris","Mouvements de capitaux à long terme entre la France et l'extérieur ",3,"cb344347484",1095,"1975","1977","1975-01-01","1977-12-31",FALSE
"131",131,"1980","https://gallica.bnf.fr/ark:/12148/cb34367296s/date","Meudon, Kolbsheim, Toulouse","Cahiers Jacques Maritain",47,"cb34367296s",NA,"1980-09","2005-06","1980-09-01","2005-06-31",FALSE
"132",132,"1901-1954","https://gallica.bnf.fr/ark:/12148/cb34410971t/date","Paris, Limoges","",35,"cb34410971t",10563,"1908-03","1937-01","1908-03-01","1937-01-31",FALSE
"133",133,"1828-1847","https://gallica.bnf.fr/ark:/12148/cb328009146/date","Paris, Paris, Paris, Paris, Paris","Journal du génie civil",15,"cb328009146",7304,"1828","1847","1828-01-01","1847-12-31",FALSE
"134",134,"184.-1848","https://gallica.bnf.fr/ark:/12148/cb32685219h/date","Paris","Albums du Monde musical",1,"cb32685219h",NA,NA,NA,NA,NA,FALSE
"135",135,"19??-19??","https://gallica.bnf.fr/ark:/12148/cb41271824v/date","Paris, Yaoundé","Budget annexe de l'exploitation des chemins de fer ",5,"cb41271824v",6208,"1922","1938","1922-01-01","1938-12-31",FALSE
"136",136,"1910-1948","https://gallica.bnf.fr/ark:/12148/cb34425987m/date","Paris, Paris","La Technique automobile et aérienne ",4,"cb34425987m",1096,"1910-01-15","1913-01-15","1910-01-15","1913-01-15",FALSE
"137",137,"1858-1920","https://gallica.bnf.fr/ark:/12148/cb32780791k/date","Paris","La Gazette des eaux ",280,"cb32780791k",22735,"1858-03","1920-05-30","1858-03-01","1920-05-30",FALSE
"138",138,"1874-1914","https://gallica.bnf.fr/ark:/12148/cb34432848x/date","Bordeaux, Bordeaux, Bordeaux, Bordeaux","Société archéologique de Bordeaux ",43,"cb34432848x",20087,"1874","1928","1874-01-01","1928-12-31",FALSE
"139",139,"1921-1926","https://gallica.bnf.fr/ark:/12148/cb32894405p/date","Berlin puis Paris","Žar ptica",1,"cb32894405p",NA,NA,NA,NA,NA,FALSE
"140",140,"1921-1958","https://gallica.bnf.fr/ark:/12148/cb32802175p/date","Bamako","Journal officiel du Soudan français",852,"cb32802175p",12379,"1925-01-01","1958-11-23","1925-01-01","1958-11-23",FALSE
"141",141,"1894-1895","https://gallica.bnf.fr/ark:/12148/cb34454139x/date","Buenos Aires","La Lanterne ",27,"cb34454139x",266,"1894-09-02","1895-05-26","1894-09-02","1895-05-26",FALSE
