"","X","date","identifier","publisher","title","nb_numeros","ark","duree_publi","date_deb","date_fin","deb_bis","fin_bis","is_quotidien"
"1858",1858,"1900-19..","https://gallica.bnf.fr/ark:/12148/cb327235231/date","Paris","Bulletin de la Société amicale des commissaires de surveillance administrative des chemins de fer",144,"cb327235231",4959,"1900-09","1914-03","1900-09-01","1914-03-31",FALSE
"1859",1859,"1877-19..","https://gallica.bnf.fr/ark:/12148/cb32723648n/date","Nancy","Bulletin de la Société centrale d'horticulture de Nancy",462,"cb32723648n",35001,"1877-06-01","1973-03","1877-06-01","1973-03-31",FALSE
"1860",1860,"1844-1881","https://gallica.bnf.fr/ark:/12148/cb32693386n/date","Paris","Annales archéologiques ",29,"cb32693386n",13879,"1844","1881","1844-01-01","1881-12-31",FALSE
"1861",1861,"1910-191.","https://gallica.bnf.fr/ark:/12148/cb32686411j/date","Paris","Almanach bénédictin ",1,"cb32686411j",364,"1910","1910","1910-01-01","1910-12-31",FALSE
"1862",1862,"19..-19..","https://gallica.bnf.fr/ark:/12148/cb32687174v/date","Paris","Almanach de la Jeune République",8,"cb32687174v",2648,"1922-10","1929","1922-10-01","1929-12-31",FALSE
"1863",1863,"1922-1967","https://gallica.bnf.fr/ark:/12148/cb32723787t/date","Riquewihr","Bulletin de la Société d'archéologie de Riquewihr",16,"cb32723787t",16800,"1922","1967","1922-01-01","1967-12-31",FALSE
"1864",1864,"1946","https://gallica.bnf.fr/ark:/12148/cb326940177/date","La Rochelle","Annales de la Société des sciences naturelles de la Charente Maritime",49,"cb326940177",NA,"1946-08","2010-06","1946-08-01","2010-06-31",FALSE
"1865",1865,"1888-1936","https://gallica.bnf.fr/ark:/12148/cb327238037/date","Paris","Bulletin de la Société d'économie politique ",80,"cb327238037",17896,"1888","1936","1888-01-01","1936-12-31",FALSE
"1866",1866,"1898-1936","https://gallica.bnf.fr/ark:/12148/cb32724064g/date","Dunkerque","Bulletin de la Société de géographie de Dunkerque",36,"cb32724064g",4534,"1898-09","1911-01","1898-09-01","1911-01-31",FALSE
"1867",1867,"1883-1939","https://gallica.bnf.fr/ark:/12148/cb32694033g/date","Fontainebleau","Annales de la Société historique ",32,"cb32694033g",15339,"1883","1924","1883-01-01","1924-12-31",FALSE
"1868",1868,"1886-1940","https://gallica.bnf.fr/ark:/12148/cb327240723/date","Lille","Bulletin de la Société de géographie de Lille ",163,"cb327240723",18900,"1886-07","1938-03","1886-07-01","1938-03-31",FALSE
"1869",1869,"1879-1914","https://gallica.bnf.fr/ark:/12148/cb327240696/date","Nancy, Paris","Bulletin de la Société de géographie de l'Est",36,"cb327240696",13057,"1879-04","1914","1879-04-01","1914-12-31",FALSE
"1870",1870,"1903-1913","https://gallica.bnf.fr/ark:/12148/cb32724302r/date","Aix","Bulletin de la Société des amis du vieil Arles",34,"cb32724302r",NA,"1903-10","1913-04","1903-10-01","1913-04-31",FALSE
"1871",1871,"1893-1939","https://gallica.bnf.fr/ark:/12148/cb32693969q/date","Chaumont","Annales de la Société d'histoire",8,"cb32693969q",13877,"1893","1930","1893-01-01","1930-12-31",FALSE
"1872",1872,"1920-1932","https://gallica.bnf.fr/ark:/12148/cb32724320p/date","Paris","Bulletin de la Société des aquafortistes français",24,"cb32724320p",4322,"1920-04","1932-01","1920-04-01","1932-01-31",FALSE
"1873",1873,"1910-1945","https://gallica.bnf.fr/ark:/12148/cb32693973z/date","Toulon","Annales de la Société d'histoire naturelle de Toulon",23,"cb32693973z",10591,"1910","1938","1910-01-01","1938-12-31",FALSE
"1874",1874,"1821-1936","https://gallica.bnf.fr/ark:/12148/cb326939462/date","Tours","Annales de la Société d'agriculture",68,"cb326939462",NA,"1838-01","1821-1936","1838-01-01","1821-1936",FALSE
"1875",1875,"1881-1938","https://gallica.bnf.fr/ark:/12148/cb32724456z/date","Bastia","Bulletin de la Société des sciences historiques et naturelles de la Corse ",103,"cb32724456z",20786,"1881-02","1937","1881-02-01","1937-12-31",FALSE
"1876",1876,"1900-1932","https://gallica.bnf.fr/ark:/12148/cb32724579w/date","Paris","Bulletin de la Société franco japonaise de Paris",43,"cb32724579w",11686,"1900","1931","1900-01-01","1931-12-31",FALSE
"1877",1877,"1904-1944","https://gallica.bnf.fr/ark:/12148/cb327245954/date","Bourg","Bulletin de la Société Gorini ",38,"cb327245954",14640,"1904","1944-01","1904-01-01","1944-01-31",FALSE
"1878",1878,"1869-1895","https://gallica.bnf.fr/ark:/12148/cb32694566t/date","Paris","Annales industrielles",246,"cb32694566t",9495,"1869-01-01","1894","1869-01-01","1894-12-31",FALSE
"1879",1879,"1883-1951","https://gallica.bnf.fr/ark:/12148/cb327246199/date","Alençon, Alençon, Alençon, Alençon","Bulletin de la Société historique et archéologique de l'Orne",71,"cb327246199",23009,"1883","1945","1883-01-01","1945-12-31",FALSE
"1880",1880,"1883-19 .","https://gallica.bnf.fr/ark:/12148/cb327246497/date","Nancy","Bulletin de la Société industrielle de l'Est",182,"cb327246497",18717,"1884-11","1936-01","1884-11-01","1936-01-31",FALSE
"1881",1881,"1900-1913","https://gallica.bnf.fr/ark:/12148/cb327247663/date","Valence","Bulletin de la Société médico chirurgicale de la Drôme et de l'Ardèche",58,"cb327247663",5051,"1900","1913-10","1900-01-01","1913-10-31",FALSE
"1882",1882,"1901-1920","https://gallica.bnf.fr/ark:/12148/cb327248086/date","Bellème","Bulletin de la Société percheronne d'histoire et d'archéologie",23,"cb327248086",13513,"1901","1937","1901-01-01","1937-12-31",FALSE
"1883",1883,"1893-1943","https://gallica.bnf.fr/ark:/12148/cb327248531/date","Paris","Bulletin de la Société pour la propagation des langues étrangères en France",130,"cb327248531",16406,"1893-03","1938-01","1893-03-01","1938-01-31",FALSE
"1884",1884,"1913-1920","https://gallica.bnf.fr/ark:/12148/cb32725475g/date","Vichy","Le Bulletin de Vichy ",116,"cb32725475g",2653,"1913-06-07","1920-09-11","1913-06-07","1920-09-11",FALSE
