"","date","identifier","publisher","title"
"2794","1836-183.","https://gallica.bnf.fr/ark:/12148/cb327687646/date","Bordeaux","Esméralda "
"2795","1944-1947","https://gallica.bnf.fr/ark:/12148/cb32769046k/date","Vannes","L'Espoir du Morbihan "
"2796","1918-192?","https://gallica.bnf.fr/ark:/12148/cb32769020w/date","Paris, Compiègne","L'Espoir de l'Oise "
"2797","1899-1903","https://gallica.bnf.fr/ark:/12148/cb32769058k/date","Rethel","L'Espoir illustré "
"2798","1889-1893","https://gallica.bnf.fr/ark:/12148/cb32769095s/date","Paris","L'Esprit de la femme "
"2799","1908-1920","https://gallica.bnf.fr/ark:/12148/cb32770307j/date","Aubigny au Bac","L'Étoile du batelier "
"2800","1920-1944","https://gallica.bnf.fr/ark:/12148/cb32771033h/date","Paris, Marseille, Lyon","L'Étudiant français "
"2801","1910-1910","https://gallica.bnf.fr/ark:/12148/cb32752494n/date","Mauriac","Le Cri du peuple "
"2802","1936-1938","https://gallica.bnf.fr/ark:/12148/cb32771048j/date","Rennes","L'Étudiant national "
"2803","1837-1844","https://gallica.bnf.fr/ark:/12148/cb327719946/date","Paris","L'Expérience "
"2804","1870-18..","https://gallica.bnf.fr/ark:/12148/cb32761316j/date","Paris","L'Écho des beaux arts "
"2805","1865-1867","https://gallica.bnf.fr/ark:/12148/cb327723567/date","Paris","L'Express des modes "
"2806","1860-1860","https://gallica.bnf.fr/ark:/12148/cb32772222n/date","Saint Dizier","L'Exposition de Saint Dizier "
"2807","1883-1884","https://gallica.bnf.fr/ark:/12148/cb327724822/date","Saint Mandé","L'Extrême gauche "
"2808","1853-1853","https://gallica.bnf.fr/ark:/12148/cb32772627g/date","Paris","La Fabrique "
"2809","1905-1910","https://gallica.bnf.fr/ark:/12148/cb32772801b/date","Paris","Les Faits divers illustrés "
"2810","1891-1903","https://gallica.bnf.fr/ark:/12148/cb327734600/date","Aix en Provence","La Fédération aixoise "
"2811","1858-1873","https://gallica.bnf.fr/ark:/12148/cb327739115/date","Paris, Paris","La Féérie illustrée "
"2812","1923-1926","https://gallica.bnf.fr/ark:/12148/cb327739564/date","Marseille","Fémina gazette "
"2813","1932-1933","https://gallica.bnf.fr/ark:/12148/cb32753327g/date","Nice","Croquis mondains "
"2814","1907-1911","https://gallica.bnf.fr/ark:/12148/cb32766908s/date","Avignon","En Terro d'Arle "
"2815","1890-1906","https://gallica.bnf.fr/ark:/12148/cb32773657n/date","Paris","Bulletin mensuel de correspondance des groupes et adhérents fédérés "
"2816","1945-1946","https://gallica.bnf.fr/ark:/12148/cb327739773/date","Paris","La Femme "
"2817","1927-1959","https://gallica.bnf.fr/ark:/12148/cb327740159/date","Paris","La Femme dans la vie sociale "
"2818","1936-1956","https://gallica.bnf.fr/ark:/12148/cb34422965k/date","Paris","Cahiers GLM"
"2819","1944-1957","https://gallica.bnf.fr/ark:/12148/cb32774118m/date","Paris","Femmes françaises "
"2820","1895-19..","https://gallica.bnf.fr/ark:/12148/cb32760461d/date","Paris","Écho de la location "
"2821","1815-1816","https://gallica.bnf.fr/ark:/12148/cb32774441z/date","Rouen","Feuille d'annonces judiciaires"
"2822","1934-1935","https://gallica.bnf.fr/ark:/12148/cb32760847z/date","Nice","L'Écho de Nice "
"2823","1884-189.","https://gallica.bnf.fr/ark:/12148/cb32774467n/date","Besançon","Feuille d'audience du Tribunal de commerce de Besançon "
"2824","1775-1791","https://gallica.bnf.fr/ark:/12148/cb32774716k/date","Limoges","Feuille hebdomadaire de la généralité de Limoges"
"2825","1897-1898","https://gallica.bnf.fr/ark:/12148/cb32774926f/date","Paris","Le Feuilleton illustré "
"2826","1904-1910","https://gallica.bnf.fr/ark:/12148/cb327672904/date","Paris","L'Enseignement libre "
"2827","1898-1908","https://gallica.bnf.fr/ark:/12148/cb327758926/date","Lille","Le Fléau du siècle "
"2828","1882-1882","https://gallica.bnf.fr/ark:/12148/cb32775866n/date","Paris","Le Flâneur "
"2829","1880-190.","https://gallica.bnf.fr/ark:/12148/cb32776174k/date","Paris","Les Folies Bergère "
"2830","1928-193.","https://gallica.bnf.fr/ark:/12148/cb32776282g/date","Paris","Le Fonctionnaire syndicaliste "
"2831","1858-1867","https://gallica.bnf.fr/ark:/12148/cb32776890r/date","Paris","Le Foyer "
"2832","1934-1939","https://gallica.bnf.fr/ark:/12148/cb327769754/date","Lyon","Foyer magazine "
"2833","1909-1914","https://gallica.bnf.fr/ark:/12148/cb32776980q/date","Roubaix","Le Foyer Moulinois "
"2834","1897-1898","https://gallica.bnf.fr/ark:/12148/cb32777114z/date","Valenciennes","Le Franc parleur "
"2835","1882-1948","https://gallica.bnf.fr/ark:/12148/cb32777164h/date","Paris","Le Franc parleur parisien "
"2836","1944-1960","https://gallica.bnf.fr/ark:/12148/cb327772089/date","Châteaudun","Le Franc tireur du Centre "
"2837","1856-18..","https://gallica.bnf.fr/ark:/12148/cb327603854/date","Paris","L'Écho de la finance "
"2838","1906-1940","https://gallica.bnf.fr/ark:/12148/cb327772596/date","Paris","La Française "
"2839","1931-1934","https://gallica.bnf.fr/ark:/12148/cb32766322p/date","Saint Etienne","L'Emancipateur du Rail "
"2840","1883-1883","https://gallica.bnf.fr/ark:/12148/cb34429818g/date","Paris","Le Boul Miche "
"2841","1862-1937","https://gallica.bnf.fr/ark:/12148/cb327773077/date","Paris","La France "
"2842","1933-1933","https://gallica.bnf.fr/ark:/12148/cb32769115k/date","Paris","Esprit du temps  "
"2843","1930-1932","https://gallica.bnf.fr/ark:/12148/cb328786916/date","Paris","Toute la coiffure "
"2844","1884-1887","https://gallica.bnf.fr/ark:/12148/cb32771345b/date","Bayonan, Biarritzen","Escualdun Almanaca "
"2845","1907-1908","https://gallica.bnf.fr/ark:/12148/cb32770758j/date","Périgueux","Étude sur les canaris"
"2846","1904-1914","https://gallica.bnf.fr/ark:/12148/cb32770741t/date","Paris","L'Étude académique "
"2847","1799-1800","https://gallica.bnf.fr/ark:/12148/cb32770563k/date","A Paris","Étrennes des troubadours"
"2848","1919-1930","https://gallica.bnf.fr/ark:/12148/cb34416058k/date","Paris","L'Illustration économique et financière"
"2849","1910-1946","https://gallica.bnf.fr/ark:/12148/cb32772649s/date","Toulon, Paris","Les Facettes "
"2850","1902-1913","https://gallica.bnf.fr/ark:/12148/cb32772854x/date","Paris","Familia "
"2851","1881-1881","https://gallica.bnf.fr/ark:/12148/cb32765891n/date","Tulle","L'Électeur républicain "
"2852","18..-18..","https://gallica.bnf.fr/ark:/12148/cb32760596b/date","Paris","L'Écho de la publicité ou la voix de la renommée "
"2853","1879-1937","https://gallica.bnf.fr/ark:/12148/cb32773978f/date","Paris","La Femme "
"2854","1829-1848","https://gallica.bnf.fr/ark:/12148/cb327534539/date","Paris","Le Cultivateur "
"2855","1877-189.","https://gallica.bnf.fr/ark:/12148/cb327741565/date","Paris","Le Fer "
"2856","1880-1902","https://gallica.bnf.fr/ark:/12148/cb327742820/date","Tulle, Paris, Cahors","Le Feu follet "
"2857","1926-1927","https://gallica.bnf.fr/ark:/12148/cb327746498/date","Bordeaux","La Feuille des auxis des PTT "
"2858","1936-1936","https://gallica.bnf.fr/ark:/12148/cb32775697c/date","Forbach","Le Flambeau "
"2859","1869-1869","https://gallica.bnf.fr/ark:/12148/cb327617577/date","Paris","L'Écho des Porcherons "
"2860","1906-1908","https://gallica.bnf.fr/ark:/12148/cb32776796j/date","Béziers","Le Fouet "
"2861","1885-1888","https://gallica.bnf.fr/ark:/12148/cb327765155/date","Paris","La Forêt "
"2862","1865-1866","https://gallica.bnf.fr/ark:/12148/cb32763670n/date","Dijon","L'Éclair "
"2863","1857-1857","https://gallica.bnf.fr/ark:/12148/cb32767519k/date","Boulogne sur Mer","L'Entr'acte boulonnais "
"2864","1851-1851","https://gallica.bnf.fr/ark:/12148/cb327675214/date","Paris","L'Entr'acte du gastronome "
"2865","1826-1826","https://gallica.bnf.fr/ark:/12148/cb327625379/date","Paris","L'Écho du soir "
"2866","191.-191.","https://gallica.bnf.fr/ark:/12148/cb32764089n/date","Paris","L'Eclaireur du Moulin Vert "
"2867","1934-1935","https://gallica.bnf.fr/ark:/12148/cb32764903k/date","Paris","Écoutez moi"
"2868","1949-1968","https://gallica.bnf.fr/ark:/12148/cb32765271c/date","Autun","L'Eduen "
"2869","1907-1910","https://gallica.bnf.fr/ark:/12148/cb32765469c/date","Saint Quentin","L'Égalité de Saint Quentin et de l'Aisne "
"2870","1890-189.","https://gallica.bnf.fr/ark:/12148/cb32770412d/date","Abbeville","L'Etoile picarde "
"2871","1920-1925","https://gallica.bnf.fr/ark:/12148/cb32767991d/date","Paris","Éon "
"2872","1892-1893","https://gallica.bnf.fr/ark:/12148/cb32771144f/date","Paris","Eurêka "
"2873","1938-1956","https://gallica.bnf.fr/ark:/12148/cb32770470k/date","Paris","Etre belle et bien coiffée"
"2874","1932-1938","https://gallica.bnf.fr/ark:/12148/cb32770469c/date","Paris","Etre belle "
"2875","1666-1666","https://gallica.bnf.fr/ark:/12148/cb32771870x/date","A Paris","L'Examen des esprits"
"2876","1838-183.","https://gallica.bnf.fr/ark:/12148/cb327721827/date","Paris","L'Exposition "
"2877","1904-1906","https://gallica.bnf.fr/ark:/12148/cb32769184d/date","Paris","Les Essais "
"2878","1880-1881","https://gallica.bnf.fr/ark:/12148/cb327731458/date","Paris","La Fantaisie artistique et littéraire "
"2879","1862-1862","https://gallica.bnf.fr/ark:/12148/cb327731578/date","Marseille","Le Fantaisiste "
"2880","1923-1934","https://gallica.bnf.fr/ark:/12148/cb327719737/date","Paris","L'Expansion commerciale de la France "
"2881","1934-1939","https://gallica.bnf.fr/ark:/12148/cb327740875/date","Paris","Les Femmes dans l'action mondiale "
"2882","1906-1910","https://gallica.bnf.fr/ark:/12148/cb328611881/date","Paris","Revue pour les Français "
"2883","1936-1939","https://gallica.bnf.fr/ark:/12148/cb34365613w/date","Juvisy, Paris","Bulletin de la Société française d'études mariales"
"2884","1882-1884","https://gallica.bnf.fr/ark:/12148/cb327749075/date","Montpellier","Le Feuilleton "
"2885","1914-1928","https://gallica.bnf.fr/ark:/12148/cb32776099n/date","Paris","Foi et vie"
"2886","1835-1881","https://gallica.bnf.fr/ark:/12148/cb32766045h/date","Paris","L'Élégant "
"2887","1887-1887","https://gallica.bnf.fr/ark:/12148/cb32769200t/date","Paris","Les Essais littéraires "
"2888","1941-1944","https://gallica.bnf.fr/ark:/12148/cb32777227k/date","Eaubonne","Le Français "
"2889","1913-1914","https://gallica.bnf.fr/ark:/12148/cb327703542/date","Roubaix","L'Étoile du Nord "
"2890","1838-1838","https://gallica.bnf.fr/ark:/12148/cb32770987p/date","Paris","L'Étudiant "
"2891","1908-1958","https://gallica.bnf.fr/ark:/12148/cb327772147/date","Paris","Franca esperantisto "
"2892","1929-1929","https://gallica.bnf.fr/ark:/12148/cb32770994z/date","Montpellier","L'Étudiant "
"2893","1916-1919","https://gallica.bnf.fr/ark:/12148/cb32753501b/date","Tours","Cultores martyrum "
"2894","1889-1896","https://gallica.bnf.fr/ark:/12148/cb32757463k/date","Lille","Le Dimanche "
"2895","18??-18??","https://gallica.bnf.fr/ark:/12148/cb32774398n/date","Paris","Feuille d'annonces de la Revue du notariat et de l'enregistrement "
"2896","1789-1789","https://gallica.bnf.fr/ark:/12148/cb34398513z/date","Paris","Le Courrier de Versailles à Paris et de Paris à Versailles "
"2897","1938-1939","https://gallica.bnf.fr/ark:/12148/cb327764225/date","Paris","Forces féminines françaises "
"2898","1846-1847","https://gallica.bnf.fr/ark:/12148/cb32767486f/date","Toulon","L'Entr'acte "
"2899","1921-1950","https://gallica.bnf.fr/ark:/12148/cb34406318z/date","","Le Passepoil "
"2900","1900-1902","https://gallica.bnf.fr/ark:/12148/cb344252761/date","Paris","Bulletin bibliographique colonial "
"2901","1863-1870","https://gallica.bnf.fr/ark:/12148/cb327649414/date","Paris","L'Écrin "
"2902","1894-1895","https://gallica.bnf.fr/ark:/12148/cb344236650/date","Paris","Le Rêve et l'idée "
"2903","1864-1865","https://gallica.bnf.fr/ark:/12148/cb32767528j/date","Versailles","L'Entr'acte versaillais "
"2904","1862-1863","https://gallica.bnf.fr/ark:/12148/cb32771260z/date","Paris","L'Europe littéraire "
"2905","1848-1848","https://gallica.bnf.fr/ark:/12148/cb344269390/date","Paris","La Hongrie "
"2906","1890-19..","https://gallica.bnf.fr/ark:/12148/cb327669392/date","Paris","L'Enclume "
"2907","1893-1895","https://gallica.bnf.fr/ark:/12148/cb344299569/date","Paris","Le Coeur "
"2908","1875-1880","https://gallica.bnf.fr/ark:/12148/cb327749342/date","Bordeaux, Bordeaux","Les Feuilletons du dimanche "
"2909","194.-195.","https://gallica.bnf.fr/ark:/12148/cb326912339/date","Terrenoire, Paris","L'Ami de la nature "
"2910","1876-187.","https://gallica.bnf.fr/ark:/12148/cb32775897x/date","Paris","La Flèche "
"2911","1910-1910","https://gallica.bnf.fr/ark:/12148/cb327770558/date","Paris","Le Franc Comtois de Paris "
"2912","1898-1898","https://gallica.bnf.fr/ark:/12148/cb32769993k/date","Nancy","L'Étincelle "
"2913","1926-1928","https://gallica.bnf.fr/ark:/12148/cb327693212/date","Roubaix","L'Essor de l'Épeule"
"2914","1944-1944","https://gallica.bnf.fr/ark:/12148/cb32757438c/date","Lyon","Dimanche "
"2915","1885-1885","https://gallica.bnf.fr/ark:/12148/cb32758884w/date","Paris","Le Drapeau rouge "
"2916","1923-192.","https://gallica.bnf.fr/ark:/12148/cb327712750/date","Paris","L'Europe occidentale "
"2917","1831-1838","https://gallica.bnf.fr/ark:/12148/cb327713262/date","Paris","L'Européen "
"2918","1932-193.","https://gallica.bnf.fr/ark:/12148/cb32762925d/date","Paris","L'Echo national "
"2919","1914-19..","https://gallica.bnf.fr/ark:/12148/cb32768230h/date","Lyon","Épidaure "
"2920","1887-1904","https://gallica.bnf.fr/ark:/12148/cb327687526/date","Baïonan","Eskualdun Gazetaren almanaka "
"2921","1873-1874","https://gallica.bnf.fr/ark:/12148/cb32774624x/date","Paris","La Feuille de Madame Angot"
"2922","1897-1950","https://gallica.bnf.fr/ark:/12148/cb344185918/date","Saint Hippolyte du Fort, Marseille","L'Etoile bleue "
"2923","1889-1889","https://gallica.bnf.fr/ark:/12148/cb32775263z/date","Paris","Les Filles de France "
"2924","1841-1842","https://gallica.bnf.fr/ark:/12148/cb32776168n/date","Paris","La Folie "
"2925","1912-191.","https://gallica.bnf.fr/ark:/12148/cb32770437r/date","Roubaix","Étoile sportive du Nord "
"2926","1933-193.","https://gallica.bnf.fr/ark:/12148/cb327762756/date","Paris","Le Fonctionnaire municipal "
"2927","1927-193.","https://gallica.bnf.fr/ark:/12148/cb327712661/date","Paris, Paris","L'Europe moderne"
"2928","1895-1896","https://gallica.bnf.fr/ark:/12148/cb32771928d/date","Paris","L'Excursionniste "
"2929","1792-1793","https://gallica.bnf.fr/ark:/12148/cb32774626m/date","Paris","Feuille de Paris "
"2930","1855-1855","https://gallica.bnf.fr/ark:/12148/cb32772305b/date","Bordeaux","L'Express "
"2931","1871-1871","https://gallica.bnf.fr/ark:/12148/cb327753846/date","Paris","Le Fils du père Duchêne illustré "
"2932","1933-1939","https://gallica.bnf.fr/ark:/12148/cb32773924h/date","Scrignac","Feiz ha Breiz ar vugale "
"2933","1932-1932","https://gallica.bnf.fr/ark:/12148/cb34445755v/date","Paris","Junior "
"2934","1911-19..","https://gallica.bnf.fr/ark:/12148/cb32764372r/date","Paris","École et famille "
"2935","1849-1851","https://gallica.bnf.fr/ark:/12148/cb327747037/date","Paris, Troyes, Paris","La Feuille du village "
"2936","1915-1916","https://gallica.bnf.fr/ark:/12148/cb327772685/date","Paris","La Française d'aujourd'hui "
"2937","1889-1889","https://gallica.bnf.fr/ark:/12148/cb32775139t/date","Paris","Le Fifre "
"2938","1830-1830","https://gallica.bnf.fr/ark:/12148/cb32774915s/date","Paris","Le Feuilleton des journaux politiques"
"2939","1930-1935","https://gallica.bnf.fr/ark:/12148/cb32775902p/date","Paris","La Flèche "
"2940","1908-1909","https://gallica.bnf.fr/ark:/12148/cb32775913b/date","Paris","La Flèche de Triboulet "
"2941","1821-1823","https://gallica.bnf.fr/ark:/12148/cb32776767z/date","Paris","La Foudre "
"2942","19..-19..","https://gallica.bnf.fr/ark:/12148/cb327623759/date","Paris","Écho du patronage Notre Dame de Lourdes"
"2943","1832-1832","https://gallica.bnf.fr/ark:/12148/cb32768939j/date","Paris","L'Espion des jeux "
"2944","1888","https://gallica.bnf.fr/ark:/12148/cb343896525/date","Paris, Annecy","Annales salésiennes"
"2945","1839-184.","https://gallica.bnf.fr/ark:/12148/cb32772180j/date","Paris","L'Exposition "
"2946","1753-1768","https://gallica.bnf.fr/ark:/12148/cb344009452/date","Paris","Almanach des corps des marchands et des communautés du royaume"
"2947","1904-1905","https://gallica.bnf.fr/ark:/12148/cb32763147r/date","Saint Girons","L'Écho socialiste "
"2948","1918-1918","https://gallica.bnf.fr/ark:/12148/cb32758992s/date","Paris","Le Droit des peuples "
"2949","1912-1913","https://gallica.bnf.fr/ark:/12148/cb32764234x/date","Nice","L'Eco di Montecarlo "
"2950","1894-1895","https://gallica.bnf.fr/ark:/12148/cb327623143/date","Paris","L'Écho du Palais "
"2951","1914-1918","https://gallica.bnf.fr/ark:/12148/cb32757319t/date","Paris","Dieu et patrie "
"2952","1936","https://gallica.bnf.fr/ark:/12148/cb327775758/date","Brazzaville","La France de Brazzaville"
"2953","1874-1935","https://gallica.bnf.fr/ark:/12148/cb32777792d/date","Paris","La France illustrée "
"2954","1920-1920","https://gallica.bnf.fr/ark:/12148/cb327776897/date","Paris","France et Ukraine "
"2955","1904-19..","https://gallica.bnf.fr/ark:/12148/cb327610637/date","Asnières","Bulletin paroissial "
"2956","1886-1887","https://gallica.bnf.fr/ark:/12148/cb32770193d/date","Paris","L'Étoile artistique "
"2957","1861-1862","https://gallica.bnf.fr/ark:/12148/cb32765059z/date","Nîmes","Édition spéciale du Glaneur du Gard pour le Théâtre de Nîmes "
"2958","1894-1899","https://gallica.bnf.fr/ark:/12148/cb327779176/date","Lyon","La France libre illustrée "
"2959","1932-1934","https://gallica.bnf.fr/ark:/12148/cb32778064g/date","Paris","La France ouvrière "
"2960","1843-1847","https://gallica.bnf.fr/ark:/12148/cb327781831/date","Paris","La France théâtrale "
"2961","1789-1789","https://gallica.bnf.fr/ark:/12148/cb34429774p/date","A Paris","Club des observateurs "
