"","date","identifier","publisher","title"
"1","19??","https://gallica.bnf.fr/ark:/12148/cb32699739p/date","S. l.","L'Anti cafard"
"2","1913-????","https://gallica.bnf.fr/ark:/12148/cb339033288/date","","Memoria dos seus trabalhos"
"3","1854-1870","https://gallica.bnf.fr/ark:/12148/cb387197736/date","Paris, Paris","Almanach musical pour "
"4","1915-1918","https://gallica.bnf.fr/ark:/12148/cb386884277/date","","Marmita"
"5","1952-1953","https://gallica.bnf.fr/ark:/12148/cb45393119z/date","Paris","Les Échos "
"6","1918-1924","https://gallica.bnf.fr/ark:/12148/cb38725602n/date","","Artistique Revue"
"7","1860-186.","https://gallica.bnf.fr/ark:/12148/cb45382243n/date","Alger","Revue horticole de l'Algérie "
"8","1900","https://gallica.bnf.fr/ark:/12148/cb34349269z/date","Paris, Paris","Bulletins et Mémoires de la Société d'anthropologie de Paris"
"9","1964-1964","https://gallica.bnf.fr/ark:/12148/cb452696206/date","Paris","Aircup "
"10","1907","https://gallica.bnf.fr/ark:/12148/cb42768809f/date","","Bulletin paroissial "
"11","1909-1938","https://gallica.bnf.fr/ark:/12148/cb32686697n/date","Paris, Paris, Paris","Almanach de l'Action française"
"12","1915-1916","https://gallica.bnf.fr/ark:/12148/cb370153624/date","Tranchées du Vallon","La Gazette des boyaux "
"13","1998","https://gallica.bnf.fr/ark:/12148/cb45266005x/date","Paris","Rapport annuel "
"14","1953-1954","https://gallica.bnf.fr/ark:/12148/cb45393434p/date","Paris","Discutons "
"15","1915","https://gallica.bnf.fr/ark:/12148/cb386884424/date","","Poèmes de France par Paul Fort"
"16","1952","https://gallica.bnf.fr/ark:/12148/cb37574064v/date","Millerton N.Y.","Aperture "
"17","1914-19??","https://gallica.bnf.fr/ark:/12148/cb36137310t/date","","Le Petit colonial "
"18","1985-1986","https://gallica.bnf.fr/ark:/12148/cb452698066/date","Paris","Aircup "
"19","2007-2008","https://gallica.bnf.fr/ark:/12148/cb45269660f/date","Paris","Arménie infos"
"20","1840-1848","https://gallica.bnf.fr/ark:/12148/cb375838808/date","Montpellier, Paris, ","Journal de la Société de médecine pratique de Montpellier"
"21","1993-1994","https://gallica.bnf.fr/ark:/12148/cb45265577x/date","Paris","Fondation des Etats unis "
"22","1886-18..","https://gallica.bnf.fr/ark:/12148/cb43704525s/date","Shang hai, <U+4E0A><U+6D77>","Hai ti hua bao  "
"23","1928","https://gallica.bnf.fr/ark:/12148/cb38753987t/date","","L'Informateur ciné corporatif"
"24","1916-1917","https://gallica.bnf.fr/ark:/12148/cb386883974/date","","L'Argonaute"
"25","1820-1820","https://gallica.bnf.fr/ark:/12148/cb36136418m/date","","Aperçus historiques."
"26","1790-1791","https://gallica.bnf.fr/ark:/12148/cb424610091/date","","Almanach général de Saint Domingue"
"27","1860-1860","https://gallica.bnf.fr/ark:/12148/cb437886846/date","Paris, Paris, Paris","Les Contemporains "
"28","18..-18..","https://gallica.bnf.fr/ark:/12148/cb44510422h/date","Paris","Annales de sciences naturelles "
"29","1915-1915","https://gallica.bnf.fr/ark:/12148/cb361364356/date","Marseille, Toulon","Le Drapeau "
"30","1934-1936","https://gallica.bnf.fr/ark:/12148/cb45265625z/date","London","European herald"
"31","","https://gallica.bnf.fr/ark:/12148/cb365956374/date","Paris 12, rue du Vieux Colombier, 75006",""
"32","1961-1966","https://gallica.bnf.fr/ark:/12148/cb453940982/date","Paris","Bulletin des comités"
"33","1957-1961","https://gallica.bnf.fr/ark:/12148/cb45392885f/date","Paris","Bulletin intérieur "
"34","19??","https://gallica.bnf.fr/ark:/12148/cb375752639/date","La Haye, Paris","Revue de droit international et de législation comparée "
"35","1895","https://gallica.bnf.fr/ark:/12148/cb32701846m/date","Alger","L'Argus algérien"
"36","18..-18..","https://gallica.bnf.fr/ark:/12148/cb45113710h/date","Paris","Programme général des concours"
"37","1856-1865","https://gallica.bnf.fr/ark:/12148/cb32748868f/date","Paris, Paris, Paris, Paris","La Correspondance littéraire "
"38","1915-1915","https://gallica.bnf.fr/ark:/12148/cb420127847/date","France","Le Cri de Vaux "
"39","1904","https://gallica.bnf.fr/ark:/12148/cb32846157j/date","Alger","La Purée noire"
"40","1915-1918","https://gallica.bnf.fr/ark:/12148/cb328406115/date","S. l.","Les Poilus de la 9e "
"41","1996-1996","https://gallica.bnf.fr/ark:/12148/cb452659442/date","Paris","L' Afiche "
"42","1753-1757","https://gallica.bnf.fr/ark:/12148/cb43514729k/date","","Le Traducteur "
"43","1908","https://gallica.bnf.fr/ark:/12148/cb42768804q/date","","Bulletin paroissial "
"44","1915-1915","https://gallica.bnf.fr/ark:/12148/cb444156730/date","Paris","Les Imberbes "
"45","1920","https://gallica.bnf.fr/ark:/12148/cb327110605/date","London, Bruxelles, Paris, Milano, Madrid","Les Belles modes de Paris"
"46","1897-1899","https://gallica.bnf.fr/ark:/12148/cb442555031/date","Paris, Edinburgh","Revue française d'Edimbourg"
"47","1836-184.","https://gallica.bnf.fr/ark:/12148/cb451132809/date","Paris","Assemblée générale"
"48","1807-1819","https://gallica.bnf.fr/ark:/12148/cb32813915g/date","Paris, Paris, Paris, Paris, Paris, Paris, Paris, Paris, Paris, Paris","Mémorial dramatique"
"49","1955","https://gallica.bnf.fr/ark:/12148/cb344421811/date","Paris",""
"50","1844-1844","https://gallica.bnf.fr/ark:/12148/cb442080578/date","Paris","Deutsch französische Jahrbücher "
"51","1788-1789","https://gallica.bnf.fr/ark:/12148/cb43847111q/date","","Cours complet d'agriculture"
"52","","https://gallica.bnf.fr/ark:/12148/btv1b55005600p","S. l.","La Fusillade crépitante et humoristique"
"53","","https://gallica.bnf.fr/ark:/12148/btv1b525012583","Le Collet de Dèze, Saint Germain de Calberte","La Cévenne coopérative "
"54","18??","https://gallica.bnf.fr/ark:/12148/cb32806295j/date","Constantinople","The Levant times and shipping gazette"
"55","1925","https://gallica.bnf.fr/ark:/12148/cb328343609/date","Genève","Pax et libertas "
"56","1821-05-20","https://gallica.bnf.fr/ark:/12148/bpt6k899628v","Cap Haytien","La Concorde"
"57","","https://gallica.bnf.fr/ark:/12148/btv1b55005604g","S. l.","Bombes et pétards"
"58","19..-19..","https://gallica.bnf.fr/ark:/12148/cb32821815x/date","Mossoul","En Nadjn"
"59","1769-1771","https://gallica.bnf.fr/ark:/12148/cb45387987d/date","","Le Porte feuille hebdomadaire"
"60","1842-1870","https://gallica.bnf.fr/ark:/12148/cb419474583/date","Strasbourg","Arrêté portant règlement général pour la culture du tabac "
"61","1811","https://gallica.bnf.fr/ark:/12148/bpt6k6526101k","","Bulletin des arrêtés"
"62","1908-1908","https://gallica.bnf.fr/ark:/12148/cb32853883h/date","Alger","Le Réveil d'Alger"
"63","1895-1902","https://gallica.bnf.fr/ark:/12148/cb43667224d/date","Saïgon","Recueil des instructions"
"64","1921-02-20","https://gallica.bnf.fr/ark:/12148/bpt6k4517748p","Angora","Agence d'Anatolie"
"65","1910-1940","https://gallica.bnf.fr/ark:/12148/cb443458103/date","Paris, Paris","Bulletin de l'Institut catholique de Paris "
"66","1907-1958","https://gallica.bnf.fr/ark:/12148/cb44376655c/date","Maroc ?","Assemblée générale ordinaire"
"67","1896-01","https://gallica.bnf.fr/ark:/12148/bpt6k1045699","Paris, Paris","Journal des voyages et des aventures de terre et de mer"
"68","194.-194.","https://gallica.bnf.fr/ark:/12148/cb43839458g/date","","Le Réveil "
"69","19??-195?","https://gallica.bnf.fr/ark:/12148/cb41270794h/date","Paris, Brazzaville","Comptes définitifs des recettes et des dépenses "
"70","19??","https://gallica.bnf.fr/ark:/12148/cb32777765h/date","Hanoi","France Hanoi"
"71","1723-1724","https://gallica.bnf.fr/ark:/12148/cb40936288w/date","","Nouvelles litteraires "
"72","1890-1910","https://gallica.bnf.fr/ark:/12148/cb327231426/date","Paris, Paris","Bulletin de la Ligue populaire pour le repos du dimanche en France"
"73","1910-1914","https://gallica.bnf.fr/ark:/12148/cb328123832/date","Alger","Mauritania"
"74","1922-10","https://gallica.bnf.fr/ark:/12148/bpt6k5600425n","Bordeaux, Lyon, Marseille","Bulletin hispanique"
"75","1650-1650","https://gallica.bnf.fr/ark:/12148/cb44323340r/date","","Le Courieer burlesque de la guerre de Bourdeaux"
"76","1930","https://gallica.bnf.fr/ark:/12148/cb32847415p/date","Casablanca","Radio marocaine"
"77","1906-12-26","https://gallica.bnf.fr/ark:/12148/bpt6k4565238b","Montreux","Barnett's continental weekly "
"78","1723-1725","https://gallica.bnf.fr/ark:/12148/cb32827164n/date","","Le Nouvelliste sans fard"
"79","1802","https://gallica.bnf.fr/ark:/12148/cb32827850w/date","Port Républicain","L'Observateur ou Gazette du Port Républicain"
"80","1929-05-03","https://gallica.bnf.fr/ark:/12148/bpt6k1262534f","Constantine","La Nausée"
"81","1893-1894","https://gallica.bnf.fr/ark:/12148/cb32696967r/date","Smyrne, Smyrne","Annuaire des commerçants de Smyrne et de l'Anatolie"
"82","1733-1747","https://gallica.bnf.fr/ark:/12148/cb327122619/date","","Bibliotheque britannique"
"83","","https://gallica.bnf.fr/ark:/12148/btv1b525024692","Paris","Le Nu idéal"
"84","1796-1796","https://gallica.bnf.fr/ark:/12148/cb327980924/date","Paris, Paris","Journal de la justice civile"
"85","1893-1893","https://gallica.bnf.fr/ark:/12148/cb327097150/date","Paris, Paris","Le Bambou "
"86","","https://gallica.bnf.fr/ark:/12148/btv1b73000189","","Notre rire "
"87","1887","https://gallica.bnf.fr/ark:/12148/cb32764182h/date","Oran","L'Eclat de rire"
"88","191.-191.","https://gallica.bnf.fr/ark:/12148/cb32752897s/date","","Le Croissant "
"89","1916-1918","https://gallica.bnf.fr/ark:/12148/cb32779730b/date","S. l.","Gardons le sourire "
"90","1914","https://gallica.bnf.fr/ark:/12148/cb32836266k/date","S. l.","Le Petit écho du 18e "
"91","1915","https://gallica.bnf.fr/ark:/12148/cb32811529k/date","S. l.","Le Marcheur du 88e"
"92","1793-1793","https://gallica.bnf.fr/ark:/12148/cb32896467q/date","Se trouve à Paris, chez l'auteur, rue du Hurpoix, la boutique à côté de l'horloger... L'an 2e de la République françoise, une et indivisible.","Sermon républicain"
"93","1932","https://gallica.bnf.fr/ark:/12148/cb328096047/date","Alger","La Lumière"
"94","1907","https://gallica.bnf.fr/ark:/12148/cb32709580w/date","Alger","Le Baiser"
"95","1922","https://gallica.bnf.fr/ark:/12148/cb32760564q/date","Tunis","L'Echo de la presse"
"96","1828-1914","https://gallica.bnf.fr/ark:/12148/cb34428663h/date","Paris, Paris","Mémoires de l'Académie de médecine "
"97","1911","https://gallica.bnf.fr/ark:/12148/cb32830522b/date","Dakar","L'Ouest africain français"
"98","1847-1897","https://gallica.bnf.fr/ark:/12148/cb344427256/date","Versailles, Versailles","Mémoires de la Société des sciences morales"
"99","1870","https://gallica.bnf.fr/ark:/12148/cb34359904h/date","Montpellier, Paris, Montpellier, Montpellier, Montpellier, Montpellier, Montpellier, Montpellier, Montpellier, Montpellier","Revue des langues romanes "
"100","1856-1895","https://gallica.bnf.fr/ark:/12148/cb32781342h/date","Alger, Paris","Gazette médicale de l'Algérie "
"101","1899-190.","https://gallica.bnf.fr/ark:/12148/cb32877728g/date","Alger, puis : Mustapha, puis : Alger","Le Tirailleur algérien "
"102","1990-2000","https://gallica.bnf.fr/ark:/12148/cb344223292/date","Paris, Paris","Bibliographie nationale française"
"103","","https://gallica.bnf.fr/ark:/12148/cb344453892/date","Paris Paris, Paris","Compte administratif de l'exercice"
"104","1899-1921","https://gallica.bnf.fr/ark:/12148/cb34425170p/date","Paris, Paris","Bulletin de l'Alliance nationale pour l'accroissement de la population française"
"105","1990-2000","https://gallica.bnf.fr/ark:/12148/cb34422328q/date","Paris, Paris","Bibliographie nationale française"
"106","1935-2005","https://gallica.bnf.fr/ark:/12148/cb34387775m/date","Paris, Paris","Revue générale du froid "
"107","1920-1934","https://gallica.bnf.fr/ark:/12148/cb34387748q/date","Paris","La Revue générale du froid et des industries frigorifiques"
"108","1909","https://gallica.bnf.fr/ark:/12148/cb328321201/date","Paris puis Milan","Parigina"
"109","19??","https://gallica.bnf.fr/ark:/12148/cb328318541/date","Alger","Papa Louëtte"
"110","1908-1909","https://gallica.bnf.fr/ark:/12148/cb328539050/date","Alger","Le Réveil d'Hussein Dey"
"111","1962-1962","https://gallica.bnf.fr/ark:/12148/cb34495349v/date","Alger","Journal officiel de l'État algérien "
"112","1859-1861","https://gallica.bnf.fr/ark:/12148/cb327401677/date","Paris","La Chapelle"
"113","1947","https://gallica.bnf.fr/ark:/12148/cb34349463f/date","Paris","Informations sociales "
"114","1922","https://gallica.bnf.fr/ark:/12148/cb32718921f/date","Saigon","Bulletin "
"115","1851","https://gallica.bnf.fr/ark:/12148/cb32878756z/date","Madrid","El Trabajador"
"116","18??","https://gallica.bnf.fr/ark:/12148/cb32798622m/date","Paris","Journal de musique étrangère pour la guitare ou lyre"
"117","1652-1652","https://gallica.bnf.fr/ark:/12148/cb413185897/date","","Le babillard du temps"
"118","1649-1649","https://gallica.bnf.fr/ark:/12148/cb32751426x/date","","Courrier françois"
"119","1796-1968","https://gallica.bnf.fr/ark:/12148/cb343785544/date","Paris, Paris, Paris, Paris, Paris, Paris, Paris, Paris, Paris, Paris, Paris","Annuaire pour l'an "
"120","1899-1914","https://gallica.bnf.fr/ark:/12148/cb34520374k/date","Vienne, Paris, Paris","Revue épigraphique "
"121","1887-1910","https://gallica.bnf.fr/ark:/12148/cb344095396/date","Paris","Bulletin de la Société astronomique de France"
"122","1925-1940","https://gallica.bnf.fr/ark:/12148/cb34426924z/date","Paris, Paris","Année politique française et étrangère"
"123","1911","https://gallica.bnf.fr/ark:/12148/cb343482520/date","Paris, Paris","L'Astronomie "
"124","1862-1924","https://gallica.bnf.fr/ark:/12148/cb399769952/date","Genève, Lausanne","Bibliothèque universelle et Revue suisse"
"125","1984-1996","https://gallica.bnf.fr/ark:/12148/cb343924404/date","Paris, Montrouge","La Vie des sciences"
"126","1990-2000","https://gallica.bnf.fr/ark:/12148/cb34422358n/date","Paris, Paris","Bibliographie nationale française"
"127","1873-1885","https://gallica.bnf.fr/ark:/12148/cb34431018j/date","Paris, Paris","Bulletin   Société de Saint"
"128","1874-1878","https://gallica.bnf.fr/ark:/12148/cb34429287n/date","Paris, Paris, Paris, Paris","Le Sonnettiste "
"129","1976","https://gallica.bnf.fr/ark:/12148/cb34434747s/date","Paris, Paris","Règlements entre la France et l'extérieur "
"130","1976","https://gallica.bnf.fr/ark:/12148/cb344347484/date","Paris, Paris","Mouvements de capitaux à long terme entre la France et l'extérieur "
"131","1980","https://gallica.bnf.fr/ark:/12148/cb34367296s/date","Meudon, Kolbsheim, Toulouse","Cahiers Jacques Maritain"
"132","1901-1954","https://gallica.bnf.fr/ark:/12148/cb34410971t/date","Paris, Limoges",""
"133","1828-1847","https://gallica.bnf.fr/ark:/12148/cb328009146/date","Paris, Paris, Paris, Paris, Paris","Journal du génie civil"
"134","184.-1848","https://gallica.bnf.fr/ark:/12148/cb32685219h/date","Paris","Albums du Monde musical"
"135","19??-19??","https://gallica.bnf.fr/ark:/12148/cb41271824v/date","Paris, Yaoundé","Budget annexe de l'exploitation des chemins de fer "
"136","1910-1948","https://gallica.bnf.fr/ark:/12148/cb34425987m/date","Paris, Paris","La Technique automobile et aérienne "
"137","1858-1920","https://gallica.bnf.fr/ark:/12148/cb32780791k/date","Paris","La Gazette des eaux "
"138","1874-1914","https://gallica.bnf.fr/ark:/12148/cb34432848x/date","Bordeaux, Bordeaux, Bordeaux, Bordeaux","Société archéologique de Bordeaux "
"139","1921-1926","https://gallica.bnf.fr/ark:/12148/cb32894405p/date","Berlin puis Paris","Žar ptica"
"140","1921-1958","https://gallica.bnf.fr/ark:/12148/cb32802175p/date","Bamako","Journal officiel du Soudan français"
"141","1894-1895","https://gallica.bnf.fr/ark:/12148/cb34454139x/date","Buenos Aires","La Lanterne "
"142","1818-1818","https://gallica.bnf.fr/ark:/12148/cb328716789/date","Paris, Paris","Le Spectateur politique et littéraire  "
"143","1885-1894","https://gallica.bnf.fr/ark:/12148/cb328573206/date","Paris, Bruxelles","Revue de l'enseignement secondaire et de l'enseignement supérieur"
"144","1899-1899","https://gallica.bnf.fr/ark:/12148/cb32725389w/date","Bône","Bulletin de publicité coloniale"
"145","1814-1814","https://gallica.bnf.fr/ark:/12148/cb327866149/date","","L'Heureux mariage "
"146","1856-1970","https://gallica.bnf.fr/ark:/12148/cb34378120q/date","Paris, Paris","L'Apiculteur "
"147","1906-1909","https://gallica.bnf.fr/ark:/12148/cb344259868/date","Paris, Paris","La Technique automobile "
"148","1897-1897","https://gallica.bnf.fr/ark:/12148/cb32858868t/date","Paris, Paris","Revue des thèses de doctorat en droit "
"149","1916","https://gallica.bnf.fr/ark:/12148/cb327369728/date","S. l.","Le Canard des poilus"
"150","1944-1944","https://gallica.bnf.fr/ark:/12148/cb32796176p/date","Paris, Dreux","La Jeunesse agricole "
"151","1933-1938","https://gallica.bnf.fr/ark:/12148/cb32882765p/date","Alger","Al umma<U+1E97> "
"152","1791-1792","https://gallica.bnf.fr/ark:/12148/cb32800536d/date","A Paris, A Paris, A Paris","Journal des tribunaux "
"153","1889-1890","https://gallica.bnf.fr/ark:/12148/cb327880144/date","Lyon, Lyon","Hymen "
"154","1906","https://gallica.bnf.fr/ark:/12148/cb32812339k/date","Alger","La Matraque"
"155","1940-1942","https://gallica.bnf.fr/ark:/12148/cb32683684k/date","Paris","Agence française d'information de presse"
"156","1886-1906","https://gallica.bnf.fr/ark:/12148/cb32865851k/date","Lyon, Paris, Arras","La Science catholique "
"157","1915","https://gallica.bnf.fr/ark:/12148/cb32761827k/date","Alger","L'Echo des sports de l'Afrique du Nord "
"158","1915-1915","https://gallica.bnf.fr/ark:/12148/cb32887349j/date","Paris","Le Ver luisant "
"159","1834-1840","https://gallica.bnf.fr/ark:/12148/cb41951170w/date","Paris, Paris, Paris","Journal grammatical"
"160","1832-1833","https://gallica.bnf.fr/ark:/12148/cb32837233v/date","Paris, Paris","Le Petit Poucet "
"161","1845-1935","https://gallica.bnf.fr/ark:/12148/cb32819449v/date","Port au Prince","Le Moniteur haïtien "
"162","1929-19..","https://gallica.bnf.fr/ark:/12148/cb32885652s/date","Paris, Caen","L'Université "
"163","19??","https://gallica.bnf.fr/ark:/12148/cb327046114/date","Fribourg","Association catholique internationale des oeuvres de protection de la jeune fille"
"164","1892","https://gallica.bnf.fr/ark:/12148/cb32732050h/date","Grand Bassam puis Adjamé puis Bingerville","Bulletin officiel de la Côte d'Ivoire"
"165","1876-1886","https://gallica.bnf.fr/ark:/12148/cb328421923/date","Genève","Le Précurseur"
"166","1871-1890","https://gallica.bnf.fr/ark:/12148/cb32729575q/date","Mâcon, Cluny, Paris","Bulletin mensuel de l'Association amicale des anciens élèves de l'École normale spéciale"
"167","1932","https://gallica.bnf.fr/ark:/12148/cb32743684x/date","Hanoï","Club automobile et motocycliste du Tonkin Annam"
"168","1929","https://gallica.bnf.fr/ark:/12148/cb32739620x/date","Hanoï","Chambre mixte de commerce et d'agriculture du Laos"
"169","1893","https://gallica.bnf.fr/ark:/12148/cb344027481/date","Paris, Lyon","Mémoires de l'Académie des sciences"
"170","","https://gallica.bnf.fr/ark:/12148/cb34440568f/date","",""
"171","1819","https://gallica.bnf.fr/ark:/12148/cb32827734c/date","Les Cayes [Haïti]","L'Observateur"
"172","1890-1908","https://gallica.bnf.fr/ark:/12148/cb32687083j/date","Paris, Paris, Paris, Paris, Paris","Almanach de la démocratie rurale "
"173","1901-190?","https://gallica.bnf.fr/ark:/12148/cb327620477/date","Marengo","L'Echo du Chenoua "
"174","1931-1934","https://gallica.bnf.fr/ark:/12148/cb32685899n/date","Saigon","L'Alliance franco annamite"
"175","1893","https://gallica.bnf.fr/ark:/12148/cb32707975x/date","Bougie Algérie","L'Avenir algérien"
"176","1801-1804","https://gallica.bnf.fr/ark:/12148/cb32810178f/date","Paris","La Lyre d'Apollon"
"177","1923-1929","https://gallica.bnf.fr/ark:/12148/cb32741693d/date","Paris, Lyon, Paris, Paris","Chronique des lettres françaises "
"178","1879-1894","https://gallica.bnf.fr/ark:/12148/cb32693843r/date","Bordeaux, Berlin, Paris, Paris","Annales de la Faculté des lettres de Bordeaux"
"179","1899-1976","https://gallica.bnf.fr/ark:/12148/cb34442726j/date","Versailles, Paris","Revue de l'histoire de Versailles et de Seine et"
"180","","https://gallica.bnf.fr/ark:/12148/cb34445414f/date","","Budget urbain"
"181","1932-1939","https://gallica.bnf.fr/ark:/12148/cb32719041t/date","Hanoi","Bulletin de l'Asecourfi"
"182","1989","https://gallica.bnf.fr/ark:/12148/cb34426349n/date","Saint Etienne, Paris","Réalités industrielles "
"183","1990-2000","https://gallica.bnf.fr/ark:/12148/cb344223606/date","Paris, Paris","Bibliographie nationale française"
"184","1877","https://gallica.bnf.fr/ark:/12148/cb343482958/date","Paris, Athenai","Bulletin de correspondance hellénique"
"185","1916-1916","https://gallica.bnf.fr/ark:/12148/cb32788331j/date","Sous Verdun","Il est interdit de bousculer les bégonias "
"186","19??","https://gallica.bnf.fr/ark:/12148/cb32847313q/date","Casablanca","La Radio africaine et la T"
"187","1822-1830","https://gallica.bnf.fr/ark:/12148/cb327982753/date","Paris, Paris","Journal de la Société de la morale chrétienne "
"188","1913-1931","https://gallica.bnf.fr/ark:/12148/cb32857372f/date","Paris, Paris","Revue de l'histoire des colonies françaises "
"189","1884","https://gallica.bnf.fr/ark:/12148/cb328383441/date","Philippeville","Les Petites affiches du département de Constantine"
"190","1925-1932","https://gallica.bnf.fr/ark:/12148/cb32802034t/date","Lattaquié Syrie","Journal officiel de l'Etat des Alaouites"
"191","1892","https://gallica.bnf.fr/ark:/12148/cb32784394g/date","Alger","Les Guêpes algériennes"
"192","1894-1899","https://gallica.bnf.fr/ark:/12148/cb327724853/date","Hanoï","L'Extrême Orient "
"193","1903-1953","https://gallica.bnf.fr/ark:/12148/cb327801521/date","Aïn Temouchent","La Gazette d'Aïn Temouchent"
"194","1912-1925","https://gallica.bnf.fr/ark:/12148/cb32781018t/date","Paris, Paris","La Gazette du bon ton "
"195","1908","https://gallica.bnf.fr/ark:/12148/cb328189599/date","Alger","Le Moniteur des cafés restaurants"
"196","1916-191.","https://gallica.bnf.fr/ark:/12148/cb32735054m/date","","Le Cafard enchaîné "
"197","1758-1760","https://gallica.bnf.fr/ark:/12148/cb328257922/date",", , , ","Le Nouveau spectateur "
"198","18??","https://gallica.bnf.fr/ark:/12148/cb32731604r/date","Port au Prince","Bulletin officiel"
"199","1915-1919","https://gallica.bnf.fr/ark:/12148/cb32820395s/date","Maidières, S.l.","Le Mouchoir "
"200","1916-1917","https://gallica.bnf.fr/ark:/12148/cb32875486b/date","S. l.","Les Tablettes d'un poilu par Jean Dur de la 6e du 133"
"201","19??","https://gallica.bnf.fr/ark:/12148/cb328041368/date","Kouang tcheou wan",""
"202","19??","https://gallica.bnf.fr/ark:/12148/cb32848253x/date","Bruxelles","Rapport sur l'Administration belge du Ruanda Urundi pendant l'année"
"203","1826-1904","https://gallica.bnf.fr/ark:/12148/cb328131216/date","Bruxelles","Mémoires couronnés"
"204","1858-1868","https://gallica.bnf.fr/ark:/12148/cb327855212/date","Bayrut, <U+0628><U+064A><U+0631><U+0648><U+062A>","<U+1E24>adiqa<U+1E97> al a<U+1E96>bar "
"205","1853-1862","https://gallica.bnf.fr/ark:/12148/cb326965669/date","Constantine, Constantine, Constantine","Annuaire de la Société archéologique de la province de Constantine"
"206","1895-1923","https://gallica.bnf.fr/ark:/12148/cb34398218v/date","Grenoble, Paris","Annales de l'Université de Grenoble"
"207","1937-1947","https://gallica.bnf.fr/ark:/12148/cb328184933/date","Tananarive","Mongo"
"208","1762-1762","https://gallica.bnf.fr/ark:/12148/cb32827799z/date","","L'Observateur des spectacles ou Anecdotes théatrales ouvrage periodique par M de Chevrier."
"209","1996","https://gallica.bnf.fr/ark:/12148/cb34530984r/date","Paris","Responsabilité et environnement "
"210","1933","https://gallica.bnf.fr/ark:/12148/cb328112032/date","Alger","Le Manche à balai"
"211","1912-1935","https://gallica.bnf.fr/ark:/12148/cb32757727j/date","Tunis","Direction générale de l'agriculture"
"212","1931","https://gallica.bnf.fr/ark:/12148/cb32704453h/date","Hanoï","Association amicale des fonctionnaires indigènes du Gouvernement général"
"213","1886","https://gallica.bnf.fr/ark:/12148/cb32758816d/date","New York","The Dramatic review"
"214","1915","https://gallica.bnf.fr/ark:/12148/cb32762550h/date","S. l.","L'Écho du 75 "
"215","1958-1960","https://gallica.bnf.fr/ark:/12148/cb328021045/date","Koulouba","Journal officiel de la République soudanaise"
"216","191.-191.","https://gallica.bnf.fr/ark:/12148/cb328379286/date","","La Petite marmite "
"217","1947","https://gallica.bnf.fr/ark:/12148/cb32716703g/date","Saïgon puis Saïgon, Hanoï","Bulletin administratif"
"218","1868-1869","https://gallica.bnf.fr/ark:/12148/cb32697380j/date","Bâle, Berne, Paris","Annuaire du Club alpin suisse"
"219","1932","https://gallica.bnf.fr/ark:/12148/cb32890522k/date","Dakar","La Voce italiana di Dakar"
"220","1893-189?","https://gallica.bnf.fr/ark:/12148/cb32853766n/date","Alger","Le Réveil algérien "
"221","1894-1928","https://gallica.bnf.fr/ark:/12148/cb32788322k/date","Istanbul","Ikdam "
"222","1922-1961","https://gallica.bnf.fr/ark:/12148/cb32724399z/date","Hongkong","Bulletin de la Société des missions étrangères de Paris"
"223","1881-1970","https://gallica.bnf.fr/ark:/12148/cb328129695/date","Paris, Rome","Mélanges d'archéologie et d'histoire "
"224","1867-1870","https://gallica.bnf.fr/ark:/12148/cb328659646/date","Paris, Bruxelles","La Science sociale "
"225","1846-1880","https://gallica.bnf.fr/ark:/12148/cb32696203k/date","Paris, Caen, Paris","Annuaire de l'Institut des provinces et des congrès scientifiques"
"226","1893-1921","https://gallica.bnf.fr/ark:/12148/cb32859970w/date","Privas, Paris, Lyon","Revue historique"
"227","1901-1918","https://gallica.bnf.fr/ark:/12148/cb32729235n/date","Bordeaux, Lyon, Marseille","Bulletin italien "
"228","1903-190?","https://gallica.bnf.fr/ark:/12148/cb328791169/date","Agha Mustapha","Le Trait d'union "
"229","1921","https://gallica.bnf.fr/ark:/12148/cb32879847h/date","Budapest","La Transylvanie enchaînée"
"230","191.-191.","https://gallica.bnf.fr/ark:/12148/cb328756172/date","","Le Taco "
"231","1900-1900","https://gallica.bnf.fr/ark:/12148/cb32794162h/date","Oran","L'Israélite algérien "
"232","1802-1803","https://gallica.bnf.fr/ark:/12148/cb32827798m/date","A Paris, de l'Imprimerie des anciennes Petites affiches, rue Neuve S. Augustin, maison de la Correspondance nationale et étrangère. [20 février 8 octobre 1802]   Des imprimeries des frères Chaignieau, propriétaires et éditeurs, rue de la Monnaie, n°. 27, vis à vis la rue Boucher, près le Pont Neuf, et rue André des Arts, n°. 97. [9 octobre 1802 4 juin 1803]","L'Observateur des spectacles"
"233","1???","https://gallica.bnf.fr/ark:/12148/cb32806161z/date","S. l.","Lettres d'un poilu"
"234","1846-1866","https://gallica.bnf.fr/ark:/12148/cb32797343h/date","Constantinople","Journal de Constantinople"
"235","1897-1899","https://gallica.bnf.fr/ark:/12148/cb344302839/date","Milan, Paris","Anthologie revue de France et d'Italie "
"236","1916-1918","https://gallica.bnf.fr/ark:/12148/cb32735995p/date","","Les Cahots de la roulante "
"237","19??","https://gallica.bnf.fr/ark:/12148/cb327057589/date","Hanoï","Association professionnelle des "
"238","1797-1800","https://gallica.bnf.fr/ark:/12148/cb32712457m/date","Paris, Paris","Le Bien informé"
"239","18??","https://gallica.bnf.fr/ark:/12148/cb32774508d/date","Neuchâtel","Feuille d'avis de Neuchâtel"
